"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"C01401","(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)","HMDB0062251","602","C01401","CC(N)C(O)=O","1"
"C00037","Glycine","HMDB0000123","750","C00037","C(C(=O)O)N","1"
"C11118","2-Pyrrolidinone","HMDB0002039","12025","C11118","C1CC(=O)NC1","1"
"C01089","(R)-3-Hydroxybutyric acid","HMDB0000011","92135","C01089","C[C@H](CC(=O)O)O","1"
"C01570","D-Leucine","HMDB0013773","117670482","C01570","C1=CC=C(C=C1)NC(=O)CC[C@@H](C(=O)ON)N=NN","1"
"C00601","Phenylacetaldehyde","HMDB0006236","998","C00601","C1=CC=C(C=C1)CC=O","1"
"C06418","NA","NA","NA","NA","NA","0"
"C00189","Ethanolamine","HMDB0000149","700","C00189","C(CO)N","1"
"C00116","Glycerol","HMDB0000131","753","C00116","C(C(CO)O)O","1"
"C00407","L-Isoleucine","HMDB0000172","6306","C00407","CC[C@H](C)[C@@H](C(=O)O)N","1"
"C02378","Aminocaproic acid","HMDB0001901","564","C02378","C(CCC(=O)O)CCN","1"
"C00122","Fumaric acid","HMDB0000134","444972","C00122","C(=C/C(=O)O)\C(=O)O","1"
"C01601","Pelargonic acid","HMDB0000847","8158","C01601","CCCCCCCCC(=O)O","1"
"C00408","Pipecolic acid","HMDB0000070","849","C00408","C1CCNC(C1)C(=O)O","1"
"C00178","Thymine","HMDB0000262","1135","C00178","CC1=CNC(=O)NC1=O","1"
"C00049","L-Aspartic acid","HMDB0000191","5960","C00049","C([C@@H](C(=O)O)N)C(=O)O","1"
"C11735","N-Ethylglycine","HMDB0041945","6992079","C11735","CCNCC(O)=O","1"
"C00099","Beta-Alanine","HMDB0000056","239","C00099","C(CN)C(=O)O","1"
"C05984","2-Hydroxybutyric acid","HMDB0000008","11266","C05984","CCC(C(=O)O)O","1"
"C01796","Erythrose","HMDB0002649","5460672","C01796","C1[C@H]([C@H](C(O1)O)O)O","1"
"C00263","L-Homoserine","HMDB0000719","12647","C00263","C(CO)[C@@H](C(=O)O)N","1"
"C00153","Niacinamide","HMDB0001406","936","C00153","C1=CC(=CN=C1)C(=O)N","1"
"C00503","Erythritol","HMDB0002994","222285","C00503","C([C@H]([C@H](CO)O)O)O","1"
"C00152","L-Asparagine","HMDB0000168","6267","C00152","C([C@@H](C(=O)O)N)C(=O)N","1"
"C16433","1-deoxy-1-(N6-lysino)-D-fructose","HMDB0062186","424","C16433","N[C@@H](CCCCNC[C@@]1(O)O[C@H](CO)[C@@H](O)[C@@H]1O)C(O)=O","1"
"C00073","L-Methionine","HMDB0000696","6137","C00073","CSCC[C@@H](C(=O)O)N","1"
"C00380","Cytosine","HMDB0000630","597","C00380","C1=C(NC(=O)N=C1)N","1"
"C08374","Capsicoside E","HMDB0031443","10898580","C08374","C[C@H]1[C@H]2[C@H](C[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC[C@@H]5[C@@]4(C[C@H]([C@@H](C5)O[C@H]6[C@@H]([C@H]([C@H]([C@H](O6)CO)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O)C)C)OC1(CCC(=C)CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)OC","1"
"C00300","Creatine","HMDB0000064","586","C00300","CN(CC(=O)O)C(=N)N","1"
"C02277","Dodecanol","HMDB0011626","8193","C02277","CCCCCCCCCCCCO","1"
"C00623","sn-Glycerol 1-phosphate",NA,"3896","C00623",NA,"1"
"C05574","NA","NA","NA","NA","NA","0"
"C02679","Dodecanoic acid","HMDB0000638","3893","C02679","CCCCCCCCCCCC(=O)O","1"
"C00532","L-Arabitol","HMDB0001851","94154","C00532","C([C@@H](C([C@H](CO)O)O)O)O","1"
"C00379","D-Xylitol","HMDB0002917","6912","C00379","C([C@H](C([C@H](CO)O)O)O)O","1"
"C00507","Rhamnose","HMDB0000849","25310","C00507","C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O","1"
"C00134","Putrescine","HMDB0001414","1045","C00134","C(CCN)CN","1"
"C00446","Galactose 1-phosphate","HMDB0000645","123912","C00446","C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)O","1"
"C00878","Arabinonic acid","HMDB0000539","122045","C00878","C([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O","1"
"C01685","Ribonic acid","HMDB0000867","5460677","C01685","C([C@H]([C@H]([C@H](C(=O)O)O)O)O)O","1"
"C00346","O-Phosphoethanolamine","HMDB0000224","1015","C00346","C(COP(=O)(O)O)N","1"
"C08261","Azelaic acid","HMDB0000784","2266","C08261","C(CCCC(=O)O)CCCC(=O)O","1"
"C00262","Hypoxanthine","HMDB0000157","790","C00262","C1=NC2=C(N1)C(=O)N=CN2","1"
"C02037","Glycyl-glycine","HMDB0011733","11163","C02037","C(C(=O)NCC(=O)O)N","1"
"C03619","NA","NA","NA","NA","NA","0"
"C06424","Myristic acid","HMDB0000806","11005","C06424","CCCCCCCCCCCCCC(=O)O","1"
"C00147","Adenine","HMDB0000034","190","C00147","C1=NC2=C(N1)C(=NC=N2)N","1"
"C00124","D-Galactose",NA,"3424","C00124",NA,"1"
"C00031","D-Glucose","HMDB0000122","5793","C00031","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O","1"
"C00191","D-Glucuronic acid","HMDB0000127","94715","C00191","[C@@H]1([C@@H]([C@H](O[C@@H]([C@@H]1O)O)C(=O)O)O)O","1"
"C00794","Sorbitol","HMDB0000247","5780","C00794","C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O","1"
"C00788","Epinephrine","HMDB0000068","5816","C00788","CNC[C@@H](C1=CC(=C(C=C1)O)O)O","1"
"C00137","myo-Inositol","HMDB0000211",NA,"C00137","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"C00800","Gulonic acid","HMDB0003290","152304","C00800","C([C@H]([C@@H]([C@H]([C@H](C(=O)O)O)O)O)O)O","1"
"C00385","Xanthine","HMDB0000292","1188","C00385","C1=NC2=C(N1)C(=O)NC(=O)N2","1"
"C08362","Palmitoleic acid","HMDB0003229","5312427","C08362","CCCCCC/C=C\CCCCCCCC(=O)O","1"
"C00936","D-Mannose","HMDB0000169","18950","C00936","C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O","1"
"C01197","Caffeate",NA,"4422","C01197",NA,"1"
"D01924","Octadecanol","HMDB0002350","8221","D01924","CCCCCCCCCCCCCCCCCCO","1"
"C00665","D-Fructose 2,6-bisphosphate","HMDB0001047","105021","C00665","C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)OP(=O)(O)O)O)O)OP(=O)(O)O","1"
"C01595","Linoleic acid","HMDB0000673","5280450","C01595","CCCCC/C=C\C/C=C\CCCCCCCC(=O)O","1"
"C00078","L-Tryptophan","HMDB0000929","6305","C00078","C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N","1"
"C00712","Oleic acid","HMDB0000207","445639","C00712","CCCCCCCC/C=C\CCCCCCCC(=O)O","1"
"C00315","Spermidine","HMDB0001257","1102","C00315","C(CCNCCCN)CN","1"
"C05401","Galactosylglycerol","HMDB0006790","656504","C05401","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OCC(CO)O)O)O)O)O","1"
"C05345","Beta-D-Fructose 6-phosphate","HMDB0003971","440641","C05345","C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O","1"
"C03267","Beta-D-Fructose 2-phosphate","HMDB0006800","193537","C03267","C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)OP(=O)(O)O)O)O)O","1"
"C02067","Pseudouridine","HMDB0000767","15047","C02067","C1=C(C(=O)NC(=O)N1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"C16535","Nonadecanoic acid","HMDB0000772","12591","C16535","CCCCCCCCCCCCCCCCCCC(=O)O","1"
"C01096","Sorbitol-6-phosphate","HMDB0005831","618","C01096","OCC(O)C(O)C(O)C(O)COP(O)(O)=O","1"
"C00219","Arachidonic acid","HMDB0001043","444899","C00219","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O","1"
"C03546","D-Myo-inositol 4-phosphate","HMDB0001313","440043","C03546","O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@H]1O","1"
"C16526","Eicosenoic acid","HMDB0002231","5282768","C16526","CCCCCCCC/C=C\CCCCCCCCCC(=O)O","1"
"C00299","Uridine","HMDB0000296","6029","C00299","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"C06425","Arachidic acid","HMDB0002212","10467","C06425","CCCCCCCCCCCCCCCCCCCC(=O)O","1"
"C00357","N-Acetyl-D-Glucosamine 6-Phosphate","HMDB0001062","440996","C00357","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)COP(=O)(O)O)O)O","1"
"C03690","NA","NA","NA","NA","NA","0"
"C06429","Docosahexaenoic acid","HMDB0002183","445580","C06429","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O","1"
"C08281","Behenic acid","HMDB0000944","8215","C08281","CCCCCCCCCCCCCCCCCCCCCC(=O)O","1"
"C06422","Cellobiose","HMDB0000055","10712","C06422","C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O","1"
"C01971","NA","NA","NA","NA","NA","0"
"C00208","D-Maltose","HMDB0000163","10991489","C00208","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@H]([C@H]2O)O)O)CO)O)O)O)O","1"
"C00387","Guanosine","HMDB0000133","6802","C00387","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=O)N","1"
"C00751","Squalene","HMDB0000256","11975273","C00751","CC(=CCC/C(=C/CC/C(=C/CC/C=C(\C)/CC/C=C(/C)\CCC=C(C)C)/C)/C)C","1"
"C08320","Tetracosanoic acid","HMDB0002003","11197","C08320","CCCCCCCCCCCCCCCCCCCCCCCC(=O)O","1"
"C05402","Melibiose","HMDB0000048","440658","C05402","OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"C01235","Beta-Cortol","HMDB0005821","246164","C01235","C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4([C@@H](CO)O)O)C)O)O","1"
"C00020","Adenosine monophosphate","HMDB0000045","6083","C00020","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O","1"
"C00599","Cholestenone","HMDB0000921","91477","C00599","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C","1"
"C05437","Zymosterol intermediate 2","HMDB0006271","92746","C05437","C[C@H](CCC=C(C)C)[C@H]1CC[C@@H]2[C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C","1"
"C02528","Chenodeoxycholic acid","HMDB0000518","10133","C02528","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"C00492","Raffinose","HMDB0003213","10542","C00492","C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O","1"
"C01835","Maltotriose","HMDB0001262","439586","C01835","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O","1"
